episode,reward,total_burned,epsilon,steps,q_table_size
610,-35.0,59,0.03,11,1341
611,-356.0,404,0.03,20,1341
612,-317.0,379,0.03,26,1341
613,-127.0,151,0.03,14,1342
614,-334.0,382,0.03,20,1342
615,-319.0,361,0.03,20,1342
616,-389.0,425,0.03,26,1342
617,-336.0,390,0.03,20,1343
618,-295.0,347,0.03,23,1343
619,-292.0,346,0.03,20,1343
620,-278.0,334,0.03,31,1347
621,-332.0,392,0.03,28,1348
622,-347.0,395,0.03,18,1348
623,-343.0,407,0.03,26,1349
624,-428.0,486,0.03,25,1349
625,-307.0,353,0.03,21,1349
626,-354.0,410,0.03,23,1349
627,-256.0,310,0.03,24,1352
628,-405.0,451,0.03,24,1352
629,-337.0,389,0.03,22,1354
630,-317.0,359,0.03,20,1355
631,-272.0,320,0.03,22,1356
632,-302.0,356,0.03,22,1356
633,-336.0,384,0.03,18,1356
634,-325.0,371,0.03,19,1357
635,-410.0,470,0.03,24,1357
636,-352.0,390,0.03,17,1358
637,-394.0,442,0.03,20,1358
638,-360.0,406,0.03,21,1359
639,-438.0,504,0.03,27,1359
640,-345.0,393,0.03,21,1360
641,-222.0,270,0.03,25,1363
642,-424.0,480,0.03,22,1363
643,-402.0,454,0.03,23,1364
644,-420.0,470,0.03,22,1366
645,-377.0,423,0.03,30,1368
646,-150.0,186,0.03,19,1369
647,-370.0,420,0.03,23,1370
648,-320.0,372,0.03,20,1372
649,-336.0,390,0.03,28,1372
650,-280.0,330,0.03,20,1374
651,-279.0,343,0.03,25,1374
652,-432.0,480,0.03,21,1374
653,-364.0,420,0.03,25,1379
654,-419.0,471,0.03,21,1379
655,-340.0,388,0.03,22,1381
656,-236.0,286,0.03,22,1383
657,-224.0,270,0.03,19,1384
658,-418.0,464,0.03,19,1384
659,-379.0,429,0.03,23,1384
660,-285.0,329,0.03,28,1389
661,-382.0,438,0.03,24,1390
662,-462.0,504,0.03,23,1390
663,-472.0,528,0.03,25,1390
664,-285.0,357,0.03,33,1393
665,-255.0,309,0.03,20,1397
666,-355.0,415,0.03,23,1397
667,-298.0,326,0.03,23,1398
668,-192.0,216,0.03,16,1398
669,-411.0,461,0.03,22,1399
670,-404.0,446,0.03,23,1399
671,-263.0,305,0.03,27,1400
672,-218.0,260,0.03,19,1402
673,-423.0,475,0.03,22,1403
674,-291.0,351,0.03,29,1405
675,-320.0,368,0.03,25,1406
676,-360.0,406,0.03,24,1407
677,-336.0,398,0.03,23,1410
678,-354.0,408,0.03,22,1410
679,-386.0,438,0.03,21,1411
680,-334.0,380,0.03,25,1416
681,-380.0,440,0.03,22,1416
682,-369.0,411,0.03,18,1416
683,-329.0,379,0.03,25,1417
684,-333.0,383,0.03,20,1417
685,-339.0,399,0.03,24,1419
686,-304.0,342,0.03,16,1419
687,-186.0,240,0.03,29,1428
688,-399.0,449,0.03,20,1429
689,-331.0,375,0.03,20,1429
690,-295.0,347,0.03,32,1432
691,-285.0,323,0.03,22,1432
692,-291.0,343,0.03,20,1435
693,-326.0,370,0.03,21,1436
694,-319.0,361,0.03,21,1436
695,-334.0,390,0.03,22,1437
696,-310.0,358,0.03,20,1442
697,-276.0,332,0.03,23,1443
698,-302.0,366,0.03,25,1444
699,-299.0,341,0.03,21,1445
700,-387.0,455,0.03,34,1448
701,-324.0,370,0.03,19,1449
702,-324.0,370,0.03,18,1449
703,-287.0,337,0.03,20,1452
704,-385.0,435,0.03,21,1452
705,-465.0,511,0.03,19,1452
706,-348.0,394,0.03,19,1453
707,-390.0,430,0.03,20,1453
708,-368.0,418,0.03,22,1453
709,-458.0,514,0.03,21,1453
710,-353.0,393,0.03,19,1453
711,-295.0,343,0.03,18,1454
712,-329.0,375,0.03,25,1454
713,-299.0,345,0.03,18,1455
714,-410.0,466,0.03,26,1457
715,-366.0,406,0.03,17,1457
716,-276.0,334,0.03,22,1459
717,-301.0,345,0.03,19,1459
718,-448.0,498,0.03,20,1459
719,-251.0,307,0.03,21,1459
720,-428.0,492,0.03,26,1459
721,-394.0,440,0.03,20,1459
722,-347.0,401,0.03,22,1460
723,-382.0,432,0.03,20,1462
724,-374.0,428,0.03,20,1463
725,-379.0,427,0.03,22,1463
726,-263.0,305,0.03,21,1463
727,-427.0,477,0.03,22,1463
728,-446.0,504,0.03,21,1464
729,-352.0,400,0.03,19,1465
730,-348.0,394,0.03,18,1466
731,-454.0,506,0.03,24,1466
732,-423.0,479,0.03,19,1466
733,-389.0,453,0.03,25,1467
734,-344.0,394,0.03,22,1469
735,-249.0,303,0.03,22,1469
736,-275.0,331,0.03,21,1469
737,-485.0,531,0.03,22,1469
738,-392.0,434,0.03,19,1470
739,-307.0,367,0.03,22,1471
740,-299.0,343,0.03,18,1471
741,-381.0,425,0.03,21,1471
742,-425.0,495,0.03,26,1473
743,-348.0,398,0.03,19,1473
744,-263.0,309,0.03,20,1476
745,-211.0,257,0.03,25,1480
746,-326.0,368,0.03,17,1480
747,-290.0,346,0.03,21,1480
748,-368.0,420,0.03,24,1480
749,-375.0,421,0.03,20,1480
750,-468.0,520,0.03,22,1480
751,-349.0,397,0.03,22,1480
752,-270.0,310,0.03,19,1480
753,-360.0,412,0.03,21,1483
754,-356.0,406,0.03,21,1483
755,-438.0,492,0.03,22,1485
756,6.0,6,0.03,4,1485
757,-312.0,352,0.03,21,1487
758,-284.0,332,0.03,22,1487
759,-320.0,384,0.03,20,1487
760,-322.0,378,0.03,29,1489
761,-349.0,397,0.03,20,1489
762,-365.0,407,0.03,19,1489
763,-340.0,402,0.03,27,1489
764,-300.0,364,0.03,24,1490
765,-299.0,349,0.03,32,1493
766,-331.0,381,0.03,22,1494
767,-406.0,466,0.03,28,1494
768,-338.0,394,0.03,24,1494
769,-380.0,434,0.03,25,1495
770,-237.0,277,0.03,24,1501
771,-422.0,488,0.03,33,1506
